dataset,target,protocol,repeat,fold,r2
A,UTS,grouped,9,3,-0.9873406388526422
A,UTS,grouped,9,4,0.6309394612861301
A,UTS,grouped,9,5,-2.08339792888347
A,UTS,grouped,9,6,0.3621009651428147
A,UTS,grouped,9,7,0.2387698219323804
A,UTS,grouped,9,8,-7.069966012979878
A,UTS,grouped,9,9,-1.3686890194012578
A,UTS,grouped,9,10,0.121930331507347
A,UTS,grouped,10,1,-0.0035260367582701
A,UTS,grouped,10,2,0.90021819059458
A,UTS,grouped,10,3,0.6094191420553774
A,UTS,grouped,10,4,0.3431430116767606
A,UTS,grouped,10,5,0.5713725653645167
A,UTS,grouped,10,6,0.0911421389538559
A,UTS,grouped,10,7,-0.923830941830561
A,UTS,grouped,10,8,0.4201351319931921
A,UTS,grouped,10,9,0.5373432755529246
A,UTS,grouped,10,10,0.3330898770191905
A,conductivity,grouped,1,1,0.5626185725082518
A,conductivity,grouped,1,2,0.4204710454358827
A,conductivity,grouped,1,3,0.3241072666693452
A,conductivity,grouped,1,4,-0.3826710201314607
A,conductivity,grouped,1,5,0.3414616085740074
A,conductivity,grouped,1,6,0.7188403853954537
A,conductivity,grouped,1,7,0.4767549412844324
A,conductivity,grouped,1,8,0.4611733559674728
A,conductivity,grouped,1,9,-2.3014973701367367
A,conductivity,grouped,1,10,0.948513047565386
A,conductivity,grouped,2,1,-1.0424491087052643
A,conductivity,grouped,2,2,0.6746017730459971
A,conductivity,grouped,2,3,0.9154081782512864
A,conductivity,grouped,2,4,0.5212639099094066
A,conductivity,grouped,2,5,0.7044434289034927
A,conductivity,grouped,2,6,0.3140897110035037
A,conductivity,grouped,2,7,0.7602794332882332
A,conductivity,grouped,2,8,-0.2817912424404736
A,conductivity,grouped,2,9,0.4230694573732448
A,conductivity,grouped,2,10,0.7139093399786114
A,conductivity,grouped,3,1,0.4210560537872635
A,conductivity,grouped,3,2,0.6046226793948333
A,conductivity,grouped,3,3,0.0131166220267541
A,conductivity,grouped,3,4,0.2633232961972039
A,conductivity,grouped,3,5,0.6734425299130451
A,conductivity,grouped,3,6,0.9485742290980136
A,conductivity,grouped,3,7,0.3161564048944396
A,conductivity,grouped,3,8,0.6086526620344025
A,conductivity,grouped,3,9,0.8537406586133508
A,conductivity,grouped,3,10,0.3460642388424078
A,conductivity,grouped,4,1,0.7416569644364213
A,conductivity,grouped,4,2,0.2345299670441616
A,conductivity,grouped,4,3,0.5205565771179944
A,conductivity,grouped,4,4,0.539148323869116
A,conductivity,grouped,4,5,0.0464685244297481
A,conductivity,grouped,4,6,0.3821385178186828
A,conductivity,grouped,4,7,0.4152436426567339
A,conductivity,grouped,4,8,0.4657671524191173
A,conductivity,grouped,4,9,0.8139660798123255
A,conductivity,grouped,4,10,0.5321638879932252
A,conductivity,grouped,5,1,0.6197166121275361
A,conductivity,grouped,5,2,0.8723515564236378
A,conductivity,grouped,5,3,0.6857328640060578
A,conductivity,grouped,5,4,0.4321486595568474
