Ni,Si,Ce,La,cold_rolling_strain,solution_T,solution_t,aging_T,aging_t,UTS,conductivity,is_cold_rolled,is_solution,is_aged,log_Ni,log_Si,log_Ce,log_La,precipitation_index
2.3,0.44,0.0,0.0,63.8,-1,-1.0,-1,-1.0,,23.37,1,0,0,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,1
2.3,0.44,0.0,0.0,80.0,-1,-1.0,-1,-1.0,500.0,22.94,1,0,0,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,1
2.3,0.44,0.0,0.0,18.4,-1,-1.0,500,1.0,,43.31,1,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
2.3,0.44,0.0,0.0,35.0,-1,-1.0,500,1.0,,43.8,1,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
2.3,0.44,0.0,0.0,63.8,-1,-1.0,500,1.0,,44.8,1,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
2.3,0.44,0.0,0.0,80.0,-1,-1.0,500,1.0,638.24,46.37,1,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,400,4.0,708.0,25.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,4.0,715.0,26.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,420,4.0,727.0,26.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,430,4.0,737.0,27.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,440,4.0,720.0,27.3,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,450,4.0,707.0,27.7,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,400,6.0,710.0,26.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,400,8.0,712.0,26.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,400,10.0,715.0,27.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,718.0,26.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,8.0,722.0,27.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,10.0,725.0,27.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,420,6.0,725.0,27.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,420,8.0,724.0,27.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,420,10.0,723.0,28.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,430,6.0,735.0,27.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,430,8.0,730.0,28.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,430,10.0,720.0,28.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,440,6.0,715.0,28.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,440,8.0,710.0,28.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,440,10.0,705.0,29.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,450,6.0,700.0,28.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,450,8.0,695.0,29.0,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,450,10.0,690.0,29.5,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,728.0,25.1,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,729.0,25.3,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,730.0,25.42,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,732.0,25.67,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,733.0,25.37,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,744.0,25.93,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,734.0,26.78,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,715.0,27.75,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,715.0,24.7,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,745.0,25.35,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,410,6.0,744.0,25.36,1,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
1.37,0.28,0.0,0.0,-1.0,-1,-1.0,485,6.0,356.0,60.8,0,0,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,1
1.37,0.28,0.0,0.0,-1.0,930,-1.0,485,6.0,537.0,52.2,0,1,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,2
1.37,0.28,0.0,0.0,-1.0,760,0.5,485,6.0,530.0,51.5,0,1,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,2
1.37,0.28,0.0,0.0,30.6,930,-1.0,485,6.0,579.0,52.2,1,1,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,3
1.37,0.28,0.0,0.0,30.6,930,-1.0,485,6.0,540.0,53.1,1,1,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,3
1.2,0.4,0.0,0.0,-1.0,-1,-1.0,450,8.0,,,0,0,1,0.182321557627288,-0.9162907293741548,-20.72326583694641,-20.72326583694641,1
1.6,0.4,0.0,0.0,-1.0,-1,-1.0,450,12.0,,,0,0,1,0.4700036298707357,-0.9162907293741548,-20.72326583694641,-20.72326583694641,1
2.0,0.4,0.0,0.0,-1.0,-1,-1.0,450,12.0,,,0,0,1,0.6931471810599453,-0.9162907293741548,-20.72326583694641,-20.72326583694641,1
2.4,0.4,0.0,0.0,-1.0,-1,-1.0,450,12.0,,,0,0,1,0.8754687377705666,-0.9162907293741548,-20.72326583694641,-20.72326583694641,1
2.8,0.4,0.0,0.0,-1.0,-1,-1.0,450,12.0,,,0,0,1,1.029619417538301,-0.9162907293741548,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,,,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,0
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,450,12.0,,,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,50.0,-1,-1.0,-1,-1.0,468.0,22.68,1,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,50.0,-1,-1.0,450,2.0,,35.3,1,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,70.0,-1,-1.0,-1,-1.0,614.0,23.39,1,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,70.0,-1,-1.0,450,2.0,696.0,40.54,1,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,90.0,-1,-1.0,-1,-1.0,643.0,22.37,1,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,90.0,-1,-1.0,450,2.0,519.0,49.4,1,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,304.0,23.55,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,0
3.0,0.6,0.0,0.0,70.0,950,1.0,450,2.0,,40.3,1,1,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,3
3.0,0.6,0.0,0.0,70.0,950,1.0,450,2.0,561.0,36.6,1,1,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,3
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,281.0,17.52,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,0
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,450,12.0,477.0,25.73,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,50.0,-1,-1.0,-1,-1.0,502.0,16.62,1,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,50.0,-1,-1.0,450,2.0,,23.23,1,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,70.0,-1,-1.0,-1,-1.0,588.0,16.53,1,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,70.0,-1,-1.0,450,2.0,737.0,24.33,1,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,90.0,-1,-1.0,-1,-1.0,632.0,16.79,1,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,90.0,-1,-1.0,450,2.0,599.0,28.66,1,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,70.0,950,1.0,450,2.0,,25.21,1,1,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,3
